# Standalone unused sprites — review before deletion
# Delete a line to KEEP that sprite. Remaining lines will be removed.
# name	width	height	bytes	type
DungeonDarkRockWall 5	32	159	5819	sprite
DungeonDarkRockWall 1	32	159	5736	sprite
DungeonDarkRockWall 4	32	159	5706	sprite
Web1	156	87	5659	sprite
NM_Poison000-2n	164	155	5622	sprite
_Tfctit07	240	90	5567	sprite
_Tfctit24	240	90	5567	sprite
DungeonDarkRockWall 2	32	159	5515	sprite
ChatTogglePageName	164	32	5507	sprite
SupraHeal-2n	174	96	5475	sprite
CUI_ChatSelectUser	300	16	5466	sprite
Web5	136	76	5442	sprite
DungeonRockWallEnd1	32	146	5403	sprite
Web10	124	81	5231	sprite
DungeonDarkRockWall 3	32	159	5135	sprite
NM_Lightning000-2c	176	143	4954	sprite
_Intro Thief	68	76	4936	sprite
DungeonDarkArcEnd1	32	142	4763	sprite
SupraHeal-2o	171	81	4514	sprite
Fontaine	76	87	4467	sprite
FenceException1Dark 1	32	119	4446	sprite
AutoSplitOffGrey	108	29	4441	sprite
GodlyPotion Red	52	67	4341	sprite
GodlyPotion 3	52	67	4278	sprite
Table3	116	90	4271	sprite
FenceException1 3	32	119	4251	sprite
GodlyPotion Yellow	48	65	4215	sprite
GodlyPotion 1	48	65	4198	sprite
NecroA01-2i	280	200	4171	sprite
FenceException2 2	32	119	4148	sprite
GodlyPotion Green	48	65	4113	sprite
GodlyPotion 4	48	65	4081	sprite
GodlyPotion Blue	52	67	4015	sprite
FenceException2Dark 1	32	119	4001	sprite
GodlyPotion 2	52	67	3979	sprite
FenceException2Dark 3	32	119	3942	sprite
AutoSplitOff	108	29	3927	sprite
FenceException2 1	32	119	3863	sprite
BuySellBoxHighLight	316	16	3838	sprite
FenceException2 3	32	119	3824	sprite
SupraHeal-2p	161	94	3761	sprite
Corner	128	32	3724	ground
_Intro Mage	48	90	3706	sprite
FenceException1 1	32	119	3524	sprite
FenceException1Dark 3	32	119	3502	sprite
Shore 5	32	97	3471	sprite
Shore 4	32	97	3355	sprite
NM_Poison000-2o	164	152	3260	sprite
Shore 3	32	97	3255	sprite
Shore 6	32	97	3158	sprite
FenceException2Dark 2	32	119	2928	sprite
Shore 7	32	97	2926	sprite
SupraHeal-3a	94	87	2906	sprite
Web4	120	68	2900	sprite
Shore 2	32	97	2898	sprite
FenceException1 2	32	119	2867	sprite
Etagere SW	44	85	2826	sprite
ChatPageOffToggle	40	39	2797	ground
SupraHeal-3b	98	89	2744	sprite
FenceException1Dark 2	32	119	2714	sprite
NetWorkAccess	56	53	2702	ground
SupraHeal-2q	155	59	2665	sprite
CUI_ChatSelectCC	132	16	2660	sprite
NecromanRobe	68	38	2647	sprite
Slair	36	46	2638	sprite
RomanShield	68	31	2636	sprite
Srfire	36	44	2614	sprite
Colonne Cercle Bas	52	101	2592	sprite
DiskAccess	44	48	2578	sprite
DungeonRockWallEnd4	12	138	2574	sprite
Srair	36	44	2526	sprite
Srnone	36	44	2518	sprite
NM_Lightning000-2d	168	139	2499	sprite
Escapeo	376	250	2492	sprite
SupraHeal-2z	76	81	2463	sprite
Sldark	36	46	2453	sprite
Slearth	36	46	2393	sprite
Sllight	36	46	2347	sprite
SupraHeal-3c	113	93	2305	sprite
Srdark	36	44	2297	sprite
Shore 1	32	97	2294	sprite
WhiteRobe	68	38	2275	sprite
Srlight	36	44	2242	sprite
ChatPlayerListingH	120	13	2224	ground
Srearth	32	44	2219	sprite
ChannelListingH	116	13	2194	ground
Srwater	36	44	2192	sprite
ChainMailLegs	56	33	2186	sprite
Crates 3	48	50	2169	sprite
Slwater	36	46	2166	sprite
ChainMailBody	52	28	2126	sprite
SupraHeal-2y	64	73	2125	sprite
Gems 6	84	53	2076	sprite
SupraHeal-2x	59	66	2002	sprite
SupraHeal-2r	128	54	1963	sprite
Web2	56	38	1913	sprite
DungeonRockWallEnd2	12	138	1910	sprite
SupraHeal-2w	55	65	1887	sprite
SupraHeal-2s	138	52	1853	sprite
SupraHeal-2t	81	55	1770	sprite
SupraHeal-2u	53	62	1747	sprite
VolcanoRock	52	30	1703	sprite
StuddedLeatherBody	40	24	1655	sprite
SupraHeal-3d	105	97	1639	sprite
SupraHeal-2v	52	65	1588	sprite
Single Axe	76	38	1484	sprite
Camp9	48	41	1481	sprite
ChatToggleChannel	28	25	1478	sprite
ChatToggleSpeak	28	25	1469	sprite
Camp7	48	42	1461	sprite
Camp4	48	42	1460	sprite
Camp2	48	39	1433	sprite
ChatTogglePage	28	25	1429	sprite
StuddedLeatherLegs	44	26	1424	sprite
Camp3	48	40	1417	sprite
Crates 2	36	35	1411	sprite
Camp5	48	41	1406	sprite
Camp6	48	41	1405	sprite
Camp8	48	39	1403	sprite
SmallTreeInBowl	52	37	1380	sprite
BarossaShield	44	22	1370	sprite
StuffedBaskets 1	40	23	1302	sprite
flash	640	480	1271	sprite
SupraHeal-3e	115	92	1233	sprite
Rope	36	22	1222	sprite
Spiked Mace	44	33	1175	sprite
Ogreclub	40	24	1172	sprite
Cross	32	40	1132	sprite
NM_Lightning000-2e	160	139	1122	sprite
Fruits 6	24	35	1115	sprite
StuffedBaskets 2	40	22	1093	sprite
Coins 2	32	19	1090	sprite
WarHammer	48	26	1090	sprite
StuffedBaskets 3	40	24	1070	sprite
Glinting Sword	52	25	1068	sprite
Large Potion Green	20	28	1060	sprite
GemStaff	68	35	1032	sprite
Large Potion Red	20	27	996	sprite
Letter	28	35	979	sprite
Fruits 8	36	29	974	sprite
Reverse Sign 1	36	34	964	sprite
Spear Axe	72	38	935	sprite
SimpleStaff	44	48	932	sprite
Small Flask Red	16	24	899	sprite
Lever	36	52	826	sprite
Small Flask Green	16	24	815	sprite
Shop Sign	44	42	806	sprite
DecayingBatWings	36	20	787	sprite
Warning Box	64	67	781	sprite
Srf 2	32	16	775	ground
Fruits 4	24	24	733	sprite
_Intro Finger	40	47	731	sprite
Bugg	32	16	711	ground
SupraHeal-3f	117	61	692	sprite
Flail	24	20	659	sprite
ShortSword	44	23	652	sprite
HornedHelmet	12	29	630	sprite
Fruits 2	24	20	619	sprite
OakTreeLeaf	28	18	601	sprite
Gems 5	28	18	576	sprite
Fruits 9	20	23	568	sprite
RealDarkSword	40	18	537	sprite
Fruits 5	12	22	536	sprite
DestinyGem	20	15	518	sprite
ChainMailHelm	20	12	457	sprite
Fruits 7	28	14	453	sprite
HumanFoot	12	19	442	sprite
Shawat 1	32	16	414	ground
Shawat 3	32	16	408	ground
ElvenHat	16	15	400	sprite
Shawat 2	32	16	396	ground
Watemp 6	32	16	396	ground
Watemp 8	32	16	385	ground
CheckONLightDown	16	15	384	sprite
Watemp 7	32	16	379	ground
Watemp 5	32	16	371	ground
Watemp 23	32	16	369	ground
Watemp 22	32	16	365	ground
Watemp 15	32	16	364	ground
Watemp 21	32	16	358	ground
Shawat 4	32	16	349	ground
Watemp 13	32	16	349	ground
Watemp 24	32	16	344	ground
Watemp 4	32	16	342	ground
Watemp 28	32	16	341	ground
Watemp 16	32	16	340	ground
Watemp 14	32	16	338	ground
Watemp 25	32	16	330	ground
Shawat 5	32	16	328	ground
Watemp 1	32	16	323	ground
Watemp 26	32	16	320	ground
Watemp 3	32	16	318	ground
Gems 3	12	9	314	sprite
Watemp 2	32	16	312	ground
Gems 2	12	9	308	sprite
Gems 1	12	9	307	sprite
Kitchen 5	20	10	304	sprite
Watemp 27	32	16	304	ground
Watemp 19	32	16	300	ground
Watemp 17	32	16	295	ground
Gems 4	12	9	294	sprite
Fruits 3	12	9	291	sprite
Watemp 18	32	16	291	ground
Watemp 20	32	16	287	ground
Watemp 11	32	16	274	ground
Watemp 10	32	16	272	ground
Watemp 9	32	16	270	ground
Watemp 12	32	16	269	ground
Weather_Rain	32	16	267	ground
CheckOFFLightDown	16	15	259	sprite
Watemp 32	32	16	259	ground
Watemp 30	32	16	258	ground
Watemp 31	32	16	242	ground
EnterProgressTick	20	7	237	sprite
Watemp 29	32	16	233	ground
RT_MAP_Mask	48	32	217	sprite
Kitchen 3	12	8	214	sprite
Shawat 6	32	16	213	ground
Feather	12	9	205	sprite
Coins 1	8	5	167	sprite
Weather_Snow	8	8	161	sprite
BoulderFireA-2e	32	16	109	ground
Weather_Snow2	4	4	103	sprite
NecroA01-2j	32	16	80	ground
NecroA01A-2j	32	16	80	ground
NM_Lightning000-2f	32	16	80	ground
NM_Lightning000-2g	32	16	80	ground
BuySellBox	4	1	75	sprite
Equipbox	4	1	75	sprite
Optionbox	4	1	75	sprite
TrainTeachBox	4	1	75	sprite
