name,displayName,level,health,mana,xpPerHit,xpOnDeath,hitDamageMin,hitDamageMax,goldMin,goldMax,str,end,agi,intel,will,wis,luck,dodge,acMin,acMax,aggro,speed,canAttack,tameable,tameMaxLevel,respawnTimeMs,lootItems
Decaying Zombie,Zombie en décomposition,3,55,0,1,46,4,8,5,16,18,17,17,18,0,17,0,22,0,1072693248,50,0,true,false,0,30000,Torch:0.03|Light healing potion:0.05
Giant Bat,Chauve-souris géante,3,55,0,1,46,4,8,5,16,18,17,17,18,0,17,0,27,0,0,50,0,true,false,0,30000,
Olin Haad Guard 3,Garde d'Olin Haad,3,55,0,1,46,4,8,5,16,18,17,17,18,0,17,0,22,0,1072693248,-100,0,true,false,0,30000,
Sewer Rat,Sewer Rat,3,45,0,2,34,3,7,2,9,20,18,17,15,0,15,0,18,0,0,55,0,true,true,12,30000,Torch:0.03
Undead Bat,Chauve-souris morte-vivante,3,55,0,1,46,4,8,5,16,18,17,17,18,0,17,0,27,0,0,90,0,true,false,0,30000,Decaying Bat Wings:0.05
Giant Spider,Araignée géante,4,69,0,1,60,4,10,7,22,19,18,18,19,0,18,0,26,0,0,50,0,true,false,0,30000,Torch:0.05|Light healing potion:0.05
Mummy,Mummy,4,69,0,1,59,4,10,7,22,19,15,18,19,0,16,0,26,0,1073741824,70,0,true,false,0,30000,Torch:0.05|Light healing potion:0.05
Olin Haad Guard 4,Garde d'Olin Haad,4,69,0,1,59,4,10,7,22,19,18,18,19,0,18,0,26,0,1073741824,-100,0,true,false,0,30000,
Skeleton,Squelette,4,69,0,1,59,4,10,7,22,18,18,18,18,0,18,0,26,0,1073741824,100,0,true,false,0,30000,Leather gloves:0.03|Ring of confidence:0.01|Healing potion:0.02|Light healing potion:0.03|Skeleton bone:7.0E-4
Atrocity,Atrocity,5,84,0,1,77,5,12,8,27,20,20,20,20,0,18,0,30,0,1073741824,55,0,true,false,0,30000,Light healing potion:0.03|Light healing potion:0.05|Iron key:0.005
EDGAR,Edgar Gimplestratten,5,84,0,8,400,5,12,8,27,20,19,19,21,19,19,16,30,0,1073741824,-100,0,true,false,0,30000,
Goblin,Goblin,5,84,0,1,77,5,12,8,27,20,19,19,21,0,19,0,30,0,1073741824,40,0,true,false,0,30000,Goblin leather armor:0.005|Iron ring:0.01|Light healing potion:0.06|Healing potion:0.02
Olin Haad Guard 5,Garde d'Olin Haad,5,84,0,1,77,5,12,8,27,20,19,19,21,0,19,0,30,0,1073741824,100,0,true,false,0,30000,
Brigand,Brigand,7,116,0,1,112,6,15,12,38,21,21,21,23,0,21,0,43,0,1073741824,40,0,true,false,0,30000,Leather gloves:0.01|Leather pants:0.01|Leather Helmet:0.01|Light healing potion:0.15|Iron key:0.01
MOBMERCENARYA,Mercenary,7,116,0,9,563,6,15,12,38,21,21,21,23,21,21,21,43,0,1073741824,50,0,true,false,0,30000,
MOBMERCENARYB,Mercenary,7,116,0,9,563,6,15,12,38,21,21,21,23,21,21,21,43,0,1073741824,50,0,true,false,0,30000,
MOBMERCENARYC,Mercenary,7,116,0,9,563,6,15,12,38,21,21,21,23,21,21,21,43,0,1073741824,50,0,true,false,0,30000,
MOBMERCENARYC,Mercenary,7,116,0,9,563,6,15,12,38,21,21,21,23,21,21,21,43,0,1073741824,50,0,true,false,0,30000,
Goblin Scout,Éclaireur gobelin,8,132,0,2,136,7,17,14,44,23,22,22,24,0,22,0,42,0,1074790400,40,0,true,false,0,30000,Goblin leather armor:0.004|Leather belt:0.01|Light healing potion:0.05|Ring of light:0.01|Healing potion:0.01
Organic Waste,Déchets organiques,8,132,0,2,135,7,17,14,44,23,22,22,24,0,22,0,22,0,1075838976,40,0,true,false,0,30000,
Tomb Raider,Pilleur de tombes,8,264,0,2,272,7,17,28,88,22,22,22,22,0,22,0,47,0,1074266112,100,0,true,false,0,30000,Torch:0.1|Leather pants:0.03|Dagger of Piercing:0.05|Iron key:0.005|Healing potion:0.1|Shimmering white robe:0.01
Wandering Orc,Orc errant,8,132,0,2,136,7,17,14,44,23,22,22,24,0,22,0,42,0,1074790400,40,0,true,false,0,30000,Studded leather armor:0.01|Studded leather pants:0.01|Studded leather helmet:0.01|Light healing potion:0.02|Flail of stability:5.0E-4
Orc Scout,Éclaireur orc,9,148,0,2,157,8,18,16,49,24,23,23,25,0,23,0,46,0,1074790400,50,0,true,false,0,30000,Studded leather armor:0.004|Studded leather pants:0.003|Studded leather helmet:0.01
OLINHAADELITEGUARD,Olin Haad Elite Guard,10,500000,0,0,0,1,5,0,0,200,220,240,200,250,210,220,50,0,0,100,0,true,false,0,30000,
Olin Haad Soldier 10,Soldat Olin Haad,10,164,0,2,184,9,20,17,55,25,23,23,27,0,23,0,50,0,1075052544,100,0,true,false,0,30000,
PIG,A Pig,10,300,0,0,0,1,4,0,0,20,20,25,55,55,55,55,30,0,1073741824,-100,0,true,false,0,30000,
Poisonous Snake,Serpent venimeux,10,164,0,2,184,9,20,17,55,25,24,24,25,0,23,0,50,0,1075052544,30,0,true,false,0,30000,
PuppetMaster,Maître des Marionnettes,10,500,0,1,1,11,20,1,1,100,100,100,100,0,100,0,100,0,1077149696,70,0,true,false,0,30000,
Dark Spider,Araignée sombre,11,181,0,2,209,9,22,19,60,26,24,24,28,0,24,0,54,0,0,50,0,true,false,0,30000,Vial of Spider Venom:0.04
Scavenger Bat,Chauve-souris charognarde,11,181,0,2,209,9,22,19,60,25,24,24,28,0,24,0,79,0,0,50,0,true,false,0,30000,
Cursed Being,Être maudit,12,199,0,2,235,10,23,21,66,30,25,26,20,0,25,0,58,0,1075314688,50,0,true,false,0,30000,Diamond necklace:0.003|Leather belt:0.04|Iron ring:0.05
Giant Wasp,Guêpe géante,12,199,0,2,236,10,23,21,66,27,25,25,29,0,25,0,88,0,0,50,0,true,false,0,30000,Wasp wax:0.01
Goblin Warrior,Guerrier gobelin,12,199,0,2,235,10,23,21,66,27,25,25,29,0,25,0,58,0,1075314688,50,0,true,false,0,30000,Goblin Blade:0.004|Light healing potion:0.02|Iron key:0.005
Graax,Graax,12,398,0,2,470,10,23,42,132,27,25,25,29,0,25,0,58,0,1075314688,50,0,true,false,0,30000,Rusted long sword:0.05|Light healing potion:0.06|Mana elixir:0.05|Ring of light:0.04|Leather belt:0.04
Guurk,Guurk,12,398,0,2,460,8,23,42,132,20,25,25,36,0,25,0,68,0,1075314688,50,0,true,false,0,30000,Potion of mana:0.05|Mana elixir:0.05|Leather belt:0.04
Olin Haad Soldier 12,Soldat Olin Haad,12,199,0,2,235,10,23,21,66,27,25,25,29,0,25,0,58,0,1075314688,100,0,true,false,0,30000,
Orc Warrior,Guerrier orque,12,199,0,2,235,10,23,21,66,27,23,26,29,0,25,0,58,0,1075314688,50,0,true,false,0,30000,Feather:0.01|Leather armor:0.003|Studded leather helmet:0.009|Dagger of Piercing:8.0E-4|Iron key:0.01|Healing potion:0.01
Psi monk,Psi-monk,13,215,0,2,268,12,25,23,71,28,26,26,30,0,26,0,55,0,1076101120,50,0,true,false,0,30000,Light healing potion:0.02|Monk white sash:0.02|Rang kwan:0.03|Shimmering white robe:0.01
Psykowasp Scout,Éclaireur psykowasp,13,217,0,2,267,11,25,23,71,28,26,26,30,0,26,0,62,0,1075314688,100,0,true,false,0,30000,Psykowasp nectar:0.003
Scar-Face Razek,Razek au visage cicatrisé,13,434,0,2,534,11,25,46,142,28,26,26,30,0,26,0,62,0,1075314688,50,0,true,false,0,30000,Healing potion:0.05|Polished long sword:0.04|Studded leather armor:0.04|Studded leather boots:0.03|Studded leather gloves:0.03|Studded leather pants:0.03
Skeleton Guardian,Gardien squelette,13,217,0,2,267,11,25,23,71,27,26,26,30,0,26,0,62,0,1075314688,50,0,true,false,0,30000,Leather belt:0.02|Iron key:0.0069999998|Healing potion:0.02|Skeleton bone:8.0E-4
Wizard Mummy,Maman magicienne,13,217,0,2,267,11,25,23,71,28,26,26,30,0,26,0,62,0,1075314688,50,0,true,false,0,30000,Torch:0.05
Animated Corpse,Cadavre animé,14,235,0,2,301,12,27,25,77,29,27,27,31,0,27,0,66,0,1075576832,50,0,true,false,0,30000,Ring of confidence:0.01|Skeleton bone:0.003
Assassin,Assassin,14,235,0,2,302,12,27,25,77,29,27,27,31,0,27,0,66,0,1075052544,50,0,true,false,0,30000,Light healing potion:0.05|Golden ring:5.0E-4
Assassin,Assassin,14,235,0,2,302,12,27,25,77,29,27,27,31,0,27,0,66,0,1075052544,50,0,true,false,0,30000,Light healing potion:0.05|Golden ring:5.0E-4
Battle priest,Prêtre de bataille,14,235,0,2,298,11,27,25,77,29,27,27,31,0,27,0,66,0,1075576832,0,0,true,false,0,30000,Mace of strength:0.05|Ring of the healer:0.0075|Potion of lesser protection from evil:0.02|Leather armor:0.01|Potion of cure poison:0.02
Kraanian Worker,Ouvrier Kraanien,14,235,0,2,301,12,27,25,77,28,32,27,29,0,27,0,66,0,1075576832,50,0,true,false,0,30000,
Plague Rat,Rat de la peste,14,235,0,2,303,12,27,25,77,29,27,27,31,0,27,0,76,0,0,50,0,true,false,0,30000,
Psykowasp Feeder,Mangeoire à psykowasp,14,200,0,3,328,12,36,25,77,29,27,27,31,0,27,0,66,0,1075052544,75,0,true,false,0,30000,Feeder eyes:0.05|Psykowasp nectar:0.003
Corrupted Goblin,Gobelin corrompu,15,254,0,2,337,13,29,26,82,30,28,28,33,0,28,0,70,0,1075576832,100,0,true,false,0,30000,
Faith warrior,Guerrier de la foi,15,244,0,2,362,14,36,26,82,30,28,28,33,0,28,0,50,0,1075052544,50,0,true,false,0,30000,Sword of Light:0.01|Light healing potion:0.02|Studded leather armor:0.01|Studded leather pants:0.01|Potion of fury:0.02
Goblin Bomberman,Bombardier gobelin,15,254,0,2,337,13,29,26,82,30,28,28,33,0,28,0,70,0,1075576832,50,0,true,false,0,30000,
Goblin Subchief,Sous-chef gobelin,15,254,0,2,337,13,29,26,82,32,28,28,33,0,28,0,70,0,1075576832,50,0,true,false,0,30000,Ringmail armor:0.008|Potion of mana:0.02|Leather belt:0.01|Light healing potion:0.05|Flask of Goblin Blood:0.005
Mad Patient,Patient fou,15,254,0,0,0,13,29,0,0,30,28,28,33,0,28,0,70,0,1075576832,100,0,true,false,0,30000,A3 Permit:0.1|E5 Permit:0.2
OLINHAADCOMMANDER,Commander Owain,15,254,0,0,0,13,29,0,0,30,28,28,33,28,28,17,70,0,1088421888,100,0,true,false,0,30000,
Orc Shaman,Chaman orc,15,254,0,2,337,13,29,26,82,25,30,28,35,0,26,0,70,0,1075576832,50,0,true,false,0,30000,Feather:0.01|Iron ring:0.005|Light healing potion:0.01|Potion of mana:0.01|Woodland robe:0.001
Psykowasp Warrior,Guerrier psykowasp,15,254,0,2,337,13,29,26,82,30,28,28,33,0,28,0,70,0,1075576832,100,0,true,false,0,30000,Psykowasp nectar:0.004
Ruk,Ruk le miner,15,508,0,2,674,13,29,52,164,30,28,28,33,0,28,0,70,0,1075576832,50,0,true,false,0,30000,Golden ring:0.05|Goblin leather armor:0.05|Goblin Blade:0.05
Skeleton Warrior,Guerrier squelette,15,254,0,2,337,13,29,26,82,30,35,28,34,0,28,0,70,0,1075576832,50,0,true,false,0,30000,Rusted long sword:0.01|Leather belt:0.05|Healing potion:0.03|Skeleton bone:9.0000004E-4
Raider,Raider,16,274,0,2,376,14,31,28,88,31,29,29,34,0,29,0,74,0,1075314688,50,0,true,false,0,30000,Ringmail armor:0.006|Leather boots:0.01|Iron key:0.08|Healing potion:0.02
Kraanian Flyer,Kraanian-réclamation,17,293,0,2,413,14,33,30,93,32,30,30,35,0,30,0,118,0,0,50,0,true,false,0,30000,
Loon,Loon,17,293,0,0,0,14,33,0,0,32,30,30,35,0,30,0,78,0,1075838976,50,0,true,false,0,30000,D4 Permit:0.15|H2 Permit:0.2
Taintscale,Taintscale,17,293,0,2,410,14,33,30,93,32,30,30,35,0,30,0,78,0,1075838976,100,0,true,false,0,30000,
Bonedead,Bonedead,18,626,0,2,906,15,35,64,198,33,31,31,36,0,31,0,82,0,1075970048,70,0,true,false,0,30000,Potion of mana:0.02|Mana elixir:0.05|Light healing potion:0.02|Potion of fury:0.1|Amulet of dodging:0.01
Crazed Nurse,Infirmière folle,18,313,0,0,0,0,0,0,0,33,31,0,0,0,0,0,82,0,1075970048,50,0,true,false,0,30000,J1 Permit:0.05|B1 Permit:0.2
Goblin Chieftain,Chef gobelin,18,313,0,2,453,15,35,32,99,33,31,31,36,0,31,0,82,0,1075970048,70,0,true,false,0,30000,Feather:0.01|Flask of Goblin Blood:0.005|Iron key:0.009|Ringmail armor:5.0E-4|Ringmail leggings:5.0E-4|Ringmail helmet:5.0E-4
Kraanian Milipede,Mille-pattes kranien,18,313,0,2,453,15,35,32,99,33,31,31,36,0,31,0,82,0,1075970048,50,0,true,false,0,30000,Kraanian egg:0.02
Mrish Yellowblood,Mrish Sang-Jaune,18,626,0,2,906,15,35,64,198,33,31,31,36,0,31,0,82,0,1075970048,50,0,true,false,0,30000,Studded leather armor:0.02|Studded leather pants:0.03|Studded leather boots:0.03|Ringmail gauntlets:0.04|Ringmail boots:0.04|Goblin Blade:0.03|Ring of the bear:0.04|Round shield:0.05|Healing potion:0.03|Red cape:0.04
Psykowasp Trooper,Soldat psykowasp,18,313,0,2,453,15,35,32,99,33,31,31,36,0,31,0,82,0,1075970048,100,0,true,false,0,30000,Psykowasp nectar:0.005
Templar,Templar,18,313,0,2,453,15,35,32,99,33,31,31,36,0,31,0,82,0,1075970048,0,0,true,false,0,30000,Templar ring:0.01|Polished short sword:0.01|Iron ring:0.02
Defiler,Defiler,19,334,0,2,496,16,37,34,104,34,32,32,37,0,32,0,86,0,1075970048,100,0,true,false,0,30000,
Goblin Warchief,Chef de guerre gobelin,19,334,0,2,496,16,37,34,104,34,32,32,37,0,32,0,86,0,1075970048,70,0,true,false,0,30000,Feather:0.01|Golden ring:0.001|Bracelet of power:5.0E-4|Iron key:0.0069999998|Ringmail armor:5.0E-4|Ringmail leggings:5.0E-4|Ringmail helmet:5.0E-4|Flask of Goblin Blood:0.005
Trish Yellowblood,Trish sang-jaune,19,668,0,2,993,16,37,68,208,34,32,32,37,0,32,0,86,0,1075970048,50,0,true,false,0,30000,Studded leather armor:0.02|Studded leather pants:0.03|Studded leather boots:0.03|Ringmail gauntlets:0.04|Ringmail boots:0.04|Goblin Blade:0.03|Ring of the bear:0.04
Antelope,Antelope,20,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1076101120,-100,0,false,false,0,30000,Antelope skin:0.2
Fugar,Fugar le smelly,20,706,0,3,1086,17,39,70,220,35,32,32,39,0,32,0,90,0,1076101120,50,0,true,false,0,30000,Studded leather armor:0.02|Studded leather gloves:0.03|Studded leather pants:0.03|Studded leather helmet:0.03|Studded leather boots:0.03|Goblin Blade:0.02|Light healing potion:0.02|Light healing potion:0.02|Torch:0.05
Goblin Warlord,Seigneur de guerre gobelin,20,353,0,3,543,17,39,35,110,35,32,32,39,0,32,0,90,0,1076101120,50,0,true,false,0,30000,Sword of fury:0.02|Flask of Goblin Blood:0.005|Ringmail armor:5.0E-4|Ringmail leggings:5.0E-4|Ringmail helmet:5.0E-4
Olin Haad Brigand,Brigand,20,353,0,3,543,17,39,35,110,35,32,32,39,0,32,0,90,0,1076101120,100,0,true,false,0,30000,
Paladin,Paladin,20,353,0,3,543,17,39,35,110,35,32,32,39,0,32,0,90,0,1076101120,0,0,true,false,0,30000,Sword of Light:0.01|Healing potion:0.02|Potion of partial protection from evil:0.02|Polished short sword:0.01
Wild Horse,Cheval sauvage,20,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1076101120,-100,0,false,true,30,30000,
Fallen Warrior,Guerrier déchu,21,374,0,3,590,18,41,37,115,36,33,33,40,0,33,0,94,0,1076101120,100,0,true,false,0,30000,Corrupt heart:0.1
Orc Deserter,Déserteur orc,21,374,0,3,590,18,41,37,115,36,33,33,40,0,33,0,94,0,1076101120,30,0,true,false,0,30000,Light healing potion:0.02|Healing potion:0.03|Orcish shield:0.005|Ring of the bear:0.01|Potion of mana:0.02|Flask of crystal water:1.0E-4
Battle bard,Barde de combat,22,396,0,3,641,19,43,39,121,37,34,34,41,0,34,0,98,0,1076232192,0,0,true,false,0,30000,Rusted long sword:0.01|Leather armor:0.01|Leather boots:0.01|Leather pants:0.01
Demon Tree,Arbre démoniaque,22,396,0,3,641,19,43,39,121,37,34,34,41,0,34,0,98,0,1076232192,50,0,true,false,0,30000,Light healing potion:0.02|Healing potion:0.03|Red gem:0.005|Demon Tree Leaf:0.05|Demon tree wood:0.05
MOBRUNAWAYPATIENT,Runaway Patient,22,396,0,16,3207,19,43,39,121,37,34,34,41,34,34,19,98,0,1093664768,100,0,true,false,0,30000,
Psykowasp Devastator,Dévastateur Psykowasp,22,396,0,3,641,19,43,39,121,37,34,34,41,0,34,0,98,0,1076232192,100,0,true,false,0,30000,Devastator eyes:0.03|Psykowasp nectar:0.006
Blackguard,Blackguard,23,418,0,3,699,20,46,41,126,38,35,35,42,0,35,0,117,0,1075838976,50,0,true,false,0,30000,Light healing potion:0.02|Healing potion:0.02|Ring of the bear:0.01|Yellow gem:0.005|Golden chalice:0.003|Fine steel short sword:0.005
Corrupt Adept,Adepte corrompu,23,418,0,3,699,20,46,41,126,38,35,35,42,0,35,0,102,0,1076232192,100,0,true,false,0,30000,
Rogue Mage,Mage voyou,23,418,0,3,699,20,46,41,126,38,35,35,42,0,35,0,117,0,1075838976,50,0,true,false,0,30000,Light healing potion:0.02|Mana elixir:0.03|Ring of the bear:0.01|Green gem:0.005|Pouch of Woody Nightshade:5.0E-4|Pouch of Witch Hazel:0.001|Golden chalice:5.0E-4
Roshnak Tul,Roshnak Tul,23,842,0,3,1349,20,40,82,252,30,35,35,50,0,35,0,175,0,1076232192,50,0,true,false,0,30000,Pouch of yellow powder:0.07|Ringmail armor:0.0069999998|Ringmail gauntlets:0.01|Ringmail helmet:0.01|Ringmail leggings:0.01|Crude orcish necklace:0.002|Ringmail boots:0.01|Mana elixir:0.03|Healing potion:0.02
Desperate Prisoner,Prisonnier désespéré,24,440,0,3,765,21,48,43,132,39,36,36,43,0,36,0,106,0,1076363264,50,0,true,false,0,30000,Light healing potion:0.02|Rusted short sword:0.05
Dune Raider,Pilleur de dunes,24,440,0,3,754,21,48,43,132,39,36,36,43,0,36,0,106,0,1076363264,50,0,true,false,0,30000,Light healing potion:0.02|Flask of crystal water:0.01|Ring of the bear:0.01|Chaos Sword:0.01
Nightbreed,Nightbreed,24,440,0,3,758,21,48,43,132,39,36,36,43,0,36,0,166,0,0,50,0,true,false,0,30000,
Araf Kul,Araf'Kul,25,926,0,3,1620,22,50,88,274,40,37,37,45,0,37,0,110,0,1076363264,100,0,true,false,0,30000,Leaf of a pink tree:0.1|human bone:0.07|Pouch of yellow powder:0.18|Light healing potion:0.1
Corrupt Follower,Adepte corrompu,25,463,0,3,810,22,50,44,137,40,37,37,45,0,37,0,110,0,1076363264,100,0,true,false,0,30000,
GORLOKBLOODAXE,Gorlok Bloodaxe,25,463,0,17,4050,22,50,0,0,40,37,37,45,37,37,20,110,0,1094713344,100,0,true,false,0,30000,
Olin Haad Private Guard,Garde privée Olin Haad,25,463,0,3,810,22,50,44,137,40,37,37,45,0,37,0,110,0,1076363264,100,0,true,false,0,30000,
Psykowasp Commander,Commandant Psykowasp,25,463,0,3,810,22,50,44,137,40,37,37,45,0,37,0,110,0,1076363264,100,0,true,false,0,30000,Psykowasp nectar:0.0069999998
Giant Scorpion,Scorpion géant,27,510,0,3,933,24,55,48,148,42,39,39,47,0,39,0,83,0,1077149696,50,0,true,false,0,30000,
Bugar Pouchsnatcher,Voleur de pochettes Bugar,28,1066,0,3,2014,25,58,100,304,43,40,40,48,0,40,0,122,0,1076625408,50,0,true,false,0,30000,Red cape:0.03|Bracelet of power:0.02|Fine steel scimitar:0.001
Sand Worm,Ver de sable,28,533,0,3,1004,25,58,50,154,43,40,40,48,0,40,0,92,0,1077149696,50,0,true,false,0,30000,
Sun knight,Chevalier du soleil,28,533,0,3,1027,25,62,50,154,43,40,40,48,0,40,0,122,0,1076101120,0,0,true,false,0,30000,Sword of Light:0.05|Manastone:0.02|Polished short sword:0.01|Round shield:0.01
Flesh Eater,Mangeur de chair,29,558,0,3,1072,26,60,52,159,44,41,41,49,0,41,0,126,0,1076625408,50,0,true,false,0,30000,Light healing potion:0.02|Healing potion:0.03|Potion of mana:0.02|Mummy bandages:0.02
