# Mask index per legacy tile id, recovered from the original t4c.exe (1.25).
# The VSFID "template" attribute does NOT encode it: 741 of 873 ids disagree
# with the binary. Ids marked "interpolated" sit inside a verified linear run
# whose name the extractor could not read; both neighbours agree on the value.
# raw_id	mask	source
028D	tmpl1 3	exe
028E	tmpl1 4	exe
028F	tmpl1 5	exe
0290	tmpl1 6	exe
0291	tmpl1 7	exe
0292	tmpl1 8	exe
0293	tmpl1 9	exe
0294	tmpl1 10	exe
0295	tmpl1 11	exe
0296	tmpl1 12	exe
0297	tmpl1 13	exe
0298	tmpl1 14	exe
0299	tmpl1 15	exe
029A	tmpl1 16	exe
029B	tmpl1 17	exe
029C	tmpl1 18	exe
029D	tmpl1 19	exe
029E	tmpl1 20	exe
029F	tmpl1 21	exe
02A0	tmpl1 22	exe
02A1	tmpl1 23	exe
02A2	tmpl1 24	exe
02A3	tmpl1 25	exe
02A4	tmpl1 26	exe
02A5	tmpl1 27	exe
02A6	tmpl1 28	exe
02A7	tmpl1 29	exe
02A8	tmpl1 30	exe
02A9	tmpl1 31	exe
02AA	tmpl1 32	exe
02AB	tmpl1 1	exe
02AC	tmpl1 2	exe
02AD	tmpl1 3	exe
02AE	tmpl1 4	exe
02AF	tmpl1 5	exe
02B0	tmpl1 6	exe
02B1	tmpl1 7	exe
02B2	tmpl1 8	exe
02B3	tmpl1 9	exe
02B4	tmpl1 10	exe
02B5	tmpl1 11	exe
02B6	tmpl1 12	exe
02B7	tmpl1 13	exe
02B8	tmpl1 14	exe
02B9	tmpl1 15	exe
02BA	tmpl1 16	exe
02BB	tmpl1 17	exe
02BC	tmpl1 18	exe
02BD	tmpl1 19	exe
02BE	tmpl1 20	exe
02BF	tmpl1 21	exe
02C0	tmpl1 22	exe
02C1	tmpl1 23	exe
02C2	tmpl1 24	exe
02C3	tmpl1 25	exe
02C4	tmpl1 26	exe
02C5	tmpl1 27	exe
02C6	tmpl1 28	exe
02C7	tmpl1 29	exe
02C8	tmpl1 30	exe
02C9	tmpl1 31	exe
02CA	tmpl1 32	exe
02CB	tmpl1 1	exe
02CC	tmpl1 2	exe
02CD	tmpl1 3	exe
02CE	tmpl1 4	exe
02CF	tmpl1 5	exe
02D0	tmpl1 6	exe
02D1	tmpl1 7	exe
02D2	tmpl1 8	exe
02D3	tmpl1 9	exe
02D4	tmpl1 10	exe
02D5	tmpl1 11	exe
02D6	tmpl1 12	exe
02D7	tmpl1 13	exe
02D8	tmpl1 14	exe
02D9	tmpl1 15	exe
02DA	tmpl1 16	exe
02DB	tmpl1 17	exe
02DC	tmpl1 18	exe
02DD	tmpl1 19	exe
02DE	tmpl1 20	exe
02DF	tmpl1 21	exe
02E0	tmpl1 22	exe
02E1	tmpl1 23	exe
02E2	tmpl1 24	exe
02E3	tmpl1 25	exe
02E4	tmpl1 26	exe
02E5	tmpl1 27	exe
02E6	tmpl1 28	exe
02E7	tmpl1 29	exe
02E8	tmpl1 30	exe
02E9	tmpl1 31	exe
02EA	tmpl3 1	exe
02EB	tmpl3 2	exe
02EC	tmpl3 3	exe
02ED	tmpl3 4	exe
02EE	tmpl3 5	exe
02EF	tmpl3 6	exe
02F0	tmpl3 7	exe
02F1	tmpl3 8	exe
02F2	tmpl3 9	exe
02F3	tmpl3 10	exe
02F4	tmpl3 11	exe
02F5	tmpl3 12	exe
02F6	tmpl3 13	exe
02F7	tmpl3 14	exe
02F8	tmpl3 15	exe
02F9	tmpl3 16	exe
02FA	tmpl3 17	exe
02FB	tmpl3 18	exe
02FC	tmpl3 19	exe
02FD	tmpl3 20	exe
02FE	tmpl3 21	exe
02FF	tmpl3 22	exe
0300	tmpl3 23	exe
0301	tmpl3 24	exe
0302	tmpl3 25	exe
0303	tmpl3 26	exe
0304	tmpl3 27	exe
0305	tmpl3 28	exe
0306	tmpl3 29	exe
0307	tmpl3 30	exe
0308	tmpl3 31	exe
0309	tmpl3 32	exe
030A	tmpl3 1	exe
030B	tmpl3 2	exe
030C	tmpl3 3	exe
030D	tmpl3 4	exe
030E	tmpl3 5	exe
030F	tmpl3 6	exe
0310	tmpl3 7	exe
0311	tmpl3 8	exe
0312	tmpl3 9	exe
0313	tmpl3 10	exe
0314	tmpl3 11	exe
0315	tmpl3 12	exe
0316	tmpl3 13	exe
0317	tmpl3 14	exe
0318	tmpl3 15	exe
0319	tmpl3 16	exe
031A	tmpl3 17	exe
031B	tmpl3 18	exe
031C	tmpl3 19	exe
031D	tmpl3 20	exe
031E	tmpl3 21	exe
031F	tmpl3 22	exe
0320	tmpl3 23	exe
0321	tmpl3 24	exe
0322	tmpl3 25	exe
0323	tmpl3 26	exe
0324	tmpl3 27	exe
0325	tmpl3 28	exe
0326	tmpl3 29	exe
0327	tmpl3 30	exe
0328	tmpl3 31	exe
0329	tmpl1 1	exe
032A	tmpl1 2	exe
032B	tmpl1 3	exe
032C	tmpl1 4	exe
032D	tmpl1 5	exe
032E	tmpl1 6	exe
032F	tmpl1 7	exe
0330	tmpl1 8	exe
0331	tmpl1 9	exe
0332	tmpl1 10	exe
0333	tmpl1 11	exe
0334	tmpl1 12	exe
0335	tmpl1 13	exe
0336	tmpl1 14	exe
0337	tmpl1 15	exe
0338	tmpl1 16	exe
0339	tmpl1 17	exe
033A	tmpl1 18	exe
033B	tmpl1 19	exe
033C	tmpl1 20	exe
033D	tmpl1 21	exe
033E	tmpl1 22	exe
033F	tmpl1 23	exe
0340	tmpl1 24	exe
0341	tmpl1 25	exe
0342	tmpl1 26	exe
0343	tmpl1 27	exe
0344	tmpl1 28	exe
0345	tmpl1 29	exe
0346	tmpl1 30	exe
0347	tmpl1 31	exe
0348	tmpl1 32	exe
0349	tmpl3 1	exe
034A	tmpl3 2	exe
034B	tmpl3 3	exe
034C	tmpl3 4	exe
034D	tmpl3 5	exe
034E	tmpl3 6	exe
034F	tmpl3 7	exe
0350	tmpl3 8	exe
0351	tmpl3 9	exe
0352	tmpl3 10	exe
0353	tmpl3 11	exe
0354	tmpl3 12	exe
0355	tmpl3 13	exe
0356	tmpl3 14	exe
0357	tmpl3 15	exe
0358	tmpl3 16	exe
0359	tmpl3 17	exe
035A	tmpl3 18	exe
035B	tmpl3 19	exe
035C	tmpl3 20	exe
035D	tmpl3 21	exe
035E	tmpl3 22	exe
035F	tmpl3 23	exe
0360	tmpl3 24	exe
0361	tmpl3 25	exe
0362	tmpl3 26	exe
0363	tmpl3 27	exe
0364	tmpl3 28	exe
0365	tmpl3 29	exe
0366	tmpl3 30	exe
0367	tmpl3 31	exe
0368	tmpl3 32	exe
0369	tmpl3 1	exe
036A	tmpl3 2	exe
036B	tmpl3 3	exe
036C	tmpl3 4	exe
036D	tmpl3 5	exe
036E	tmpl3 6	exe
036F	tmpl3 7	exe
0370	tmpl3 8	exe
0371	tmpl3 9	exe
0372	tmpl3 10	exe
0373	tmpl3 11	exe
0374	tmpl3 12	exe
0375	tmpl3 13	exe
0376	tmpl3 14	exe
0377	tmpl3 15	exe
0378	tmpl3 16	exe
0379	tmpl3 17	exe
037A	tmpl3 18	exe
037B	tmpl3 19	exe
037C	tmpl3 20	exe
037D	tmpl3 21	exe
037E	tmpl3 22	exe
037F	tmpl3 1	exe
0380	tmpl3 2	exe
0381	tmpl3 3	exe
0382	tmpl3 4	exe
0383	tmpl3 5	exe
0384	tmpl3 6	exe
0385	tmpl3 7	exe
0386	tmpl3 8	exe
0387	tmpl3 9	exe
0388	tmpl3 10	exe
0389	tmpl3 11	exe
038A	tmpl3 12	exe
038B	tmpl3 13	exe
038C	tmpl3 14	exe
038D	tmpl3 15	exe
038E	tmpl3 16	exe
038F	tmpl3 17	exe
0390	tmpl3 18	exe
0391	tmpl3 19	exe
0392	tmpl3 20	exe
0393	tmpl3 21	exe
0394	tmpl3 22	exe
0395	tmpl3 23	exe
0396	tmpl3 24	exe
0397	tmpl3 25	exe
0398	tmpl3 26	exe
0399	tmpl3 27	exe
039A	tmpl3 28	exe
039B	tmpl3 29	exe
039C	tmpl3 30	exe
039D	tmpl3 31	exe
039E	tmpl3 32	exe
039F	tmpl1 1	exe
03A0	tmpl1 2	exe
03A1	tmpl1 3	exe
03A2	tmpl1 4	exe
03A3	tmpl1 5	exe
03A4	tmpl1 6	exe
03A5	tmpl1 7	exe
03A6	tmpl1 8	exe
03A7	tmpl1 9	exe
03A8	tmpl1 10	exe
03A9	tmpl1 11	exe
03AA	tmpl1 12	exe
03AB	tmpl1 13	exe
03AC	tmpl1 14	exe
03AD	tmpl1 15	exe
03AE	tmpl1 16	exe
03AF	tmpl1 17	exe
03B0	tmpl1 18	exe
03B1	tmpl1 19	exe
03B2	tmpl1 20	exe
03B3	tmpl1 21	exe
03B4	tmpl1 22	exe
03B5	tmpl1 23	exe
03B6	tmpl1 24	exe
03B7	tmpl1 25	exe
03B8	tmpl1 26	exe
03B9	tmpl1 27	exe
03BA	tmpl1 28	exe
03BB	tmpl1 29	exe
03BC	tmpl1 30	exe
03BD	tmpl1 31	exe
03BE	tmpl1 32	exe
03CA	tmpl4 1	interpolated
03CB	tmpl4 2	exe
03CC	tmpl4 1	exe
03CD	tmpl4 4	exe
03CE	tmpl4 3	exe
03CF	tmpl4 2	exe
03D0	tmpl4 1	exe
03D1	tmpl4 4	exe
03D2	tmpl4 3	exe
03D3	tmpl4 2	exe
03D4	tmpl4 1	exe
03D5	tmpl4 4	exe
03D6	tmpl4 3	exe
03D7	tmpl4 2	exe
03D8	tmpl4 1	exe
03D9	tmpl4 4	exe
03DA	tmpl4 3	exe
03DB	tmpl1 1	exe
03DC	tmpl1 2	exe
03DD	tmpl1 3	exe
03DE	tmpl1 4	exe
03DF	tmpl1 5	exe
03E0	tmpl1 6	exe
03E1	tmpl1 7	exe
03E2	tmpl1 8	exe
03E3	tmpl1 9	exe
03E4	tmpl1 10	exe
03E5	tmpl1 11	exe
03E6	tmpl1 12	exe
03E7	tmpl1 13	exe
03E8	tmpl1 14	exe
03E9	tmpl1 15	exe
03EA	tmpl1 16	exe
03EB	tmpl1 17	exe
03EC	tmpl1 18	exe
03ED	tmpl1 19	exe
03EE	tmpl1 20	exe
03EF	tmpl1 21	exe
03F0	tmpl1 22	exe
03F1	tmpl1 23	exe
03F2	tmpl1 24	exe
03F3	tmpl1 25	exe
03F4	tmpl1 26	exe
03F5	tmpl1 27	exe
03F6	tmpl1 28	exe
03F7	tmpl1 29	exe
03F8	tmpl1 30	exe
03F9	tmpl1 31	exe
03FA	tmpl1 32	exe
03FB	tmpl3 1	exe
03FC	tmpl3 2	exe
03FD	tmpl3 3	exe
03FE	tmpl3 4	exe
03FF	tmpl3 5	exe
0400	tmpl3 6	exe
0401	tmpl3 7	exe
0402	tmpl3 8	exe
0403	tmpl3 9	exe
0404	tmpl3 10	exe
0405	tmpl3 11	exe
0406	tmpl3 12	exe
0407	tmpl3 13	exe
0408	tmpl3 14	exe
0409	tmpl3 15	exe
040A	tmpl3 16	exe
040B	tmpl3 17	exe
040C	tmpl3 18	exe
040D	tmpl3 19	exe
040E	tmpl3 20	exe
040F	tmpl3 21	exe
0410	tmpl3 22	exe
0411	tmpl3 23	exe
0412	tmpl3 24	exe
0413	tmpl3 25	exe
0414	tmpl3 26	exe
0415	tmpl3 27	exe
0416	tmpl3 28	exe
0417	tmpl3 29	exe
0418	tmpl3 30	exe
0419	tmpl3 31	exe
041A	tmpl3 32	exe
041B	tmpl1 1	exe
041C	tmpl1 2	exe
041D	tmpl1 3	exe
041E	tmpl1 4	exe
041F	tmpl1 5	exe
0420	tmpl1 6	exe
0421	tmpl1 7	exe
0422	tmpl1 8	exe
0423	tmpl1 9	exe
0424	tmpl1 10	exe
0425	tmpl1 11	exe
0426	tmpl1 12	exe
0427	tmpl1 13	exe
0428	tmpl1 14	exe
0429	tmpl1 15	exe
042A	tmpl1 16	exe
042B	tmpl1 17	exe
042C	tmpl1 18	exe
042D	tmpl1 19	exe
042E	tmpl1 20	exe
042F	tmpl1 21	exe
0430	tmpl1 22	exe
0431	tmpl1 23	exe
0432	tmpl1 24	exe
0433	tmpl1 25	exe
0434	tmpl1 26	exe
0435	tmpl1 27	exe
0436	tmpl1 28	exe
0437	tmpl1 29	exe
0438	tmpl1 30	exe
0439	tmpl1 31	exe
043A	tmpl1 32	exe
043B	tmpl1 1	exe
043C	tmpl1 2	exe
043D	tmpl1 3	exe
043E	tmpl1 4	exe
043F	tmpl1 5	exe
0440	tmpl1 6	exe
0441	tmpl1 7	exe
0442	tmpl1 8	exe
0443	tmpl1 9	exe
0444	tmpl1 10	exe
0445	tmpl1 11	exe
0446	tmpl1 12	exe
0447	tmpl1 13	exe
0448	tmpl1 14	exe
0449	tmpl1 15	exe
044A	tmpl1 16	exe
044B	tmpl1 17	exe
044C	tmpl1 18	exe
044D	tmpl1 19	exe
044E	tmpl1 20	exe
044F	tmpl1 21	exe
0450	tmpl1 22	exe
0451	tmpl1 23	exe
0452	tmpl1 24	exe
0453	tmpl1 25	exe
0454	tmpl1 26	exe
0455	tmpl1 27	exe
0456	tmpl1 28	exe
0457	tmpl1 29	exe
0458	tmpl1 30	exe
0459	tmpl1 31	exe
045A	tmpl1 32	exe
045B	tmpl1 1	exe
045C	tmpl1 2	exe
045D	tmpl1 3	exe
045E	tmpl1 4	exe
045F	tmpl1 5	exe
0460	tmpl1 6	exe
0461	tmpl1 7	exe
0462	tmpl1 8	exe
0463	tmpl1 9	exe
0464	tmpl1 10	exe
0465	tmpl1 11	exe
0466	tmpl1 12	exe
0467	tmpl1 13	exe
0468	tmpl1 14	exe
0469	tmpl1 15	exe
046A	tmpl1 16	exe
046B	tmpl1 17	exe
046C	tmpl1 18	exe
046D	tmpl1 19	exe
046E	tmpl1 20	exe
046F	tmpl1 21	exe
0470	tmpl1 22	exe
0471	tmpl1 23	exe
0472	tmpl1 24	exe
0473	tmpl1 25	exe
0474	tmpl1 26	exe
0475	tmpl1 27	exe
0476	tmpl1 28	exe
0477	tmpl1 29	exe
0478	tmpl1 30	exe
0479	tmpl1 31	exe
047A	tmpl1 32	exe
047B	tmpl1 1	exe
047C	tmpl1 2	exe
047D	tmpl1 3	exe
047E	tmpl1 4	exe
047F	tmpl1 5	exe
0480	tmpl1 6	exe
0481	tmpl1 7	exe
0482	tmpl1 8	exe
0483	tmpl1 9	exe
0484	tmpl1 10	exe
0485	tmpl1 11	exe
0486	tmpl1 12	exe
0487	tmpl1 13	exe
0488	tmpl1 14	exe
0489	tmpl1 15	exe
048A	tmpl1 16	exe
048B	tmpl1 17	exe
048C	tmpl1 18	exe
048D	tmpl1 19	exe
048E	tmpl1 20	exe
048F	tmpl1 21	exe
0490	tmpl1 22	exe
0491	tmpl1 23	exe
0492	tmpl1 24	exe
0493	tmpl1 25	exe
0494	tmpl1 26	exe
0495	tmpl1 27	exe
0496	tmpl1 28	exe
0497	tmpl1 29	exe
0498	tmpl1 30	exe
0499	tmpl1 31	exe
049A	tmpl1 32	exe
049B	tmpl1 1	exe
049C	tmpl1 2	exe
049D	tmpl1 3	exe
049E	tmpl1 4	exe
049F	tmpl1 5	exe
04A0	tmpl1 6	exe
04A1	tmpl1 7	exe
04A2	tmpl1 8	exe
04A3	tmpl1 9	exe
04A4	tmpl1 10	exe
04A5	tmpl1 11	exe
04A6	tmpl1 12	exe
04A7	tmpl1 13	exe
04A8	tmpl1 14	exe
04A9	tmpl1 15	exe
04AA	tmpl1 16	exe
04AB	tmpl1 17	exe
04AC	tmpl1 18	exe
04AD	tmpl1 19	exe
04AE	tmpl1 20	exe
04AF	tmpl1 21	exe
04B0	tmpl1 22	exe
04B1	tmpl1 23	exe
04B2	tmpl1 24	exe
04B3	tmpl1 25	exe
04B4	tmpl1 26	exe
04B5	tmpl1 27	exe
04B6	tmpl1 28	exe
04B7	tmpl1 29	exe
04B8	tmpl1 30	exe
04B9	tmpl1 31	exe
04BA	tmpl1 32	exe
